engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine B,EUR/USD,SHORT,2025-09-26,5.0,-1.12,SL,1.171579,1.159973,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-09-29,5.0,-1.12,SL,1.175437,1.164405,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-10-13,5.0,-1.1,SL,1.16658,1.152989,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-11-03,6.0,-1.12,SL,1.155093,1.143894,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-11-07,5.75,-1.22,SL,1.155381,1.149437,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-11-24,5.0,-1.13,SL,1.155547,1.145656,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-01-09,5.0,-1.15,SL,1.168033,1.159264,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-01-16,5.0,-1.17,SL,1.163296,1.155417,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-01-19,5.0,-1.14,SL,1.165735,1.15579,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-01-20,5.0,-1.17,SL,1.17522,1.1673,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-02-02,5.0,-1.07,SL,1.185629,1.166491,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-03,5.0,-1.08,SL,1.164776,1.147628,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-05,5.0,-1.09,SL,1.164783,1.148784,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-16,7.0,-1.08,SL,1.149737,1.133007,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-17,6.0,-1.09,SL,1.153049,1.137723,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-19,6.0,-1.09,SL,1.151959,1.136782,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-03-30,7.0,-1.1,SL,1.15333,1.140071,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-04-02,5.0,-1.09,SL,1.15778,1.142061,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2026-05-26,5.0,-1.16,SL,1.165766,1.157347,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,LONG,2025-04-04,6.0,-1.05,SL,1.090934,1.117023,,,,trending,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-04-21,6.0,-1.06,SL,1.144751,1.166077,,,,trending,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-05-23,6.0,-1.08,SL,1.126511,1.142317,,,,ranging,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-06-03,6.0,-1.08,SL,1.137131,1.152112,,,,ranging,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-06-12,6.0,-0.35,TIMEOUT,1.134072,1.190225,,,,ranging,naked,TIMEOUT,6.0,
Engine B,EUR/USD,LONG,2025-07-02,6.0,-1.09,SL,1.171476,1.187267,,,,ranging,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-07-23,6.0,-1.11,SL,1.169876,1.182938,,,,trending,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-09-08,6.0,-1.11,SL,1.167249,1.179432,,,,ranging,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-09-16,6.0,-0.3,TIMEOUT,1.16734,1.224699,,,,ranging,naked,TIMEOUT,6.0,
Engine B,EUR/USD,LONG,2025-12-12,6.0,-1.14,SL,1.170586,1.180438,,,,trending,naked,SL,6.0,
Engine B,EUR/USD,LONG,2025-12-23,6.0,-1.15,SL,1.175157,1.184556,,,,trending,naked,SL,6.0,
Engine B,EUR/USD,LONG,2026-01-26,6.0,-0.07,TIMEOUT,1.162364,1.234742,,,,trending,naked,TIMEOUT,6.0,
Engine B,EUR/USD,LONG,2026-04-14,6.0,-1.11,SL,1.173567,1.186327,,,,trending,naked,SL,6.0,
